J814   = 0.0005229127779603005
J815   = 0.0005228546634316445
J816   = 0.0005227972194552421
J817   = 0.0005227440595626831
J818   = 0.0005226822569966317
J819   = 0.0005226298049092293
J820   = 0.0005225679650902748
J821   = 0.0005225121602416039
J822   = 0.0005224589258432388
J823   = 0.0005224047973752022
J824   = 0.0005223473161458969
J825   = 0.0005222919955849648
J826   = 0.0005222348123788833
J827   = 0.0005221784114837647
J828   = 0.0005221224576234817
J829   = 0.0005220659449696541
J830   = 0.0005220028012990951
J831   = 0.0005219494923949242
J832   = 0.0005218961089849473
J833   = 0.0005218408256769181
J834   = 0.0005217814818024635
J835   = 0.0005217298865318299
J836   = 0.0005216658115386963
J837   = 0.0005216138437390327
J838   = 0.0005215594545006753
J839   = 0.0005215044319629669
J840   = 0.0005214435979723931
J841   = 0.0005213852971792222
J842   = 0.0005213414877653122
J843   = 0.0005212736129760742
J844   = 0.0005212179198861122
J845   = 0.0005211619287729263
J846   = 0.0005211098492145539
J847   = 0.000521048791706562
J848   = 0.0005209977179765702
J849   = 0.0005209413915872574
J850   = 0.000520879589021206
J851   = 0.0005208261683583259
J852   = 0.0005207639560103417
J853   = 0.0005207158252596855
J854   = 0.0005206546559929848
J855   = 0.0005205995589494705
J856   = 0.0005205443128943443
J857   = 0.0005204887315630913
J858   = 0.0005204317718744278
J859   = 0.0005203757435083389
J860   = 0.0005203144997358323
J861   = 0.0005202600359916687
J862   = 0.0005202097445726394
J863   = 0.000520150139927864
J864   = 0.0005200990661978722
J865   = 0.0005200379714369774
J866   = 0.0005199844390153885
J867   = 0.0005199249088764191
J868   = 0.0005198697745800019
J869   = 0.000519811250269413
J870   = 0.0005197563767433167
J871   = 0.000519699938595295
J872   = 0.0005196446552872657
J873   = 0.0005195881426334381
J874   = 0.0005195325240492821
J875   = 0.0005194743722677231
J876   = 0.0005194201692938805
J877   = 0.0005193696543574334
J878   = 0.0005193126201629639
J879   = 0.0005192546173930168
J880   = 0.0005191940441727638
J881   = 0.0005191386118531227
J882   = 0.0005190801620483398
J883   = 0.0005190304666757583
J884   = 0.0005189773067831993
J885   = 0.0005189163982868194
J886   = 0.0005188594385981559
J887   = 0.0005188062787055969
J888   = 0.0005187502130866051
J889   = 0.0005186861380934715
J890   = 0.0005186394602060318
J891   = 0.0005185790732502938
J892   = 0.0005185269936919212
J893   = 0.0005184662342071533
J894   = 0.0005184091627597809
J895   = 0.0005183513090014458
J896   = 0.0005183008313179016
J897   = 0.0005182449519634247
J898   = 0.0005181873217225075
J899   = 0.000518130324780941
J900   = 0.0005180762708187104
J901   = 0.0005180199816823005
J902   = 0.0005179636180400848
J903   = 0.0005179066956043243
J904   = 0.000517851784825325
J905   = 0.0005177955701947212
J906   = 0.0005177393183112144
J907   = 0.0005176820605993271
J908   = 0.0005176274105906486
J909   = 0.0005175764113664628
J910   = 0.0005175173282623291
J911   = 0.0005174617469310761
J912   = 0.0005174046754837036
J913   = 0.0005173474177718163
J914   = 0.0005172918736934662
J915   = 0.0005172377079725266
J916   = 0.0005171824246644974
J917   = 0.0005171215906739235
J918   = 0.0005170667916536331
J919   = 0.0005170149728655815
J920   = 0.0005169596523046493
J921   = 0.0005169046670198441
J922   = 0.0005168459936976433
J923   = 0.0005167891457676887
J924   = 0.0005167362466454507
J925   = 0.0005166751146316529
J926   = 0.000516621395945549
J927   = 0.0005165629088878631
J928   = 0.0005165115743875503
J929   = 0.0005164573714137077
J930   = 0.0005164003744721413
J931   = 0.000516340471804142
J932   = 0.0005162870883941651
J933   = 0.0005162388458848
J934   = 0.0005161816254258156
J935   = 0.0005161234736442566
J936   = 0.0005160687863826752
J937   = 0.0005160040035843849
J938   = 0.0005159527435898781
J939   = 0.0005159035697579384
J940   = 0.0005158387497067452
J941   = 0.0005157844349741936
J942   = 0.0005157317593693733
